,Time,ElectricPower,Degree
413,12.670666666666667,0.17960066666666666,35.092
414,12.701333333333334,0.17962733333333333,35.092
415,12.733333333333333,0.17962150000000002,35.092
416,12.762666666666666,0.1796125,35.094
417,12.793333333333333,0.17959766666666666,35.092
418,12.824000000000002,0.17960066666666666,35.093
419,12.853333333333333,0.17956200000000003,35.092
420,12.883999999999999,0.179568,35.093
421,12.914666666666667,0.17957683333333332,35.092
422,12.943999999999999,0.17956200000000003,35.092
423,12.974666666666668,0.179568,35.093
424,13.005333333333335,0.17954416666666667,35.092
425,13.037333333333333,0.17952933333333335,35.092
426,13.068000000000001,0.17948783333333335,35.092
427,13.1,0.17945816666666667,35.092
428,13.130666666666666,0.17947300000000002,35.092
429,13.16,0.17950866666666665,35.092
430,13.190666666666667,0.17950566666666665,35.092
431,13.221333333333332,0.17950866666666665,35.092
432,13.250666666666666,0.17948183333333334,35.092
433,13.282666666666668,0.17947,35.093
434,13.312000000000001,0.17945516666666667,35.092
435,13.342666666666666,0.17944333333333334,35.092
436,13.373333333333333,0.17941666666666667,35.091
437,13.404,0.17941366666666667,35.093
438,13.434666666666667,0.17942850000000002,35.093
439,13.464,0.17941066666666666,35.092
440,13.494666666666665,0.17944033333333334,35.092
441,13.525333333333332,0.17939883333333334,35.093
442,13.554666666666666,0.17935716666666668,35.093
443,13.586666666666668,0.17933933333333335,35.091
444,13.617333333333333,0.17930966666666667,35.092
445,13.648,0.17929483333333335,35.092
446,13.678666666666667,0.1793275,35.092
447,13.709333333333332,0.17934533333333333,35.092
448,13.74,0.17930683333333333,35.092
449,13.770666666666667,0.17930966666666667,35.093
450,13.801333333333334,0.17933933333333335,35.093
451,13.831999999999999,0.17935433333333334,35.091
452,13.861333333333333,0.17938700000000002,35.093
453,13.892,0.17936916666666666,35.092
454,13.922666666666666,0.17936916666666666,35.092
455,13.954666666666666,0.17931266666666668,35.093
456,13.984,0.17930083333333335,35.092
457,14.016,0.17925633333333335,35.092
458,14.048,0.17927116666666668,35.092
459,14.077333333333334,0.17930383333333333,35.091
460,14.108,0.17929183333333334,35.092
461,14.138666666666667,0.17928899999999998,35.092
462,14.168000000000001,0.179277,35.092
463,14.2,0.17925033333333334,35.092
464,14.230666666666668,0.17922949999999999,35.092
465,14.26,0.17921466666666666,35.09
466,14.290666666666668,0.17921466666666666,35.093
467,14.321333333333333,0.17924733333333334,35.09
468,14.353333333333333,0.17912866666666666,35.092
469,14.382666666666667,0.17884666666666668,35.093
470,14.414666666666667,0.17868333333333333,35.092
471,14.443999999999999,0.17863,35.092
472,14.473333333333333,0.17861516666666669,35.092
473,14.504,0.17863583333333333,35.092
474,14.536,0.17892083333333333,35.091
475,14.565333333333333,0.17914349999999998,35.092
476,14.596,0.179277,35.091
477,14.626666666666667,0.17938983333333333,35.092
478,14.658666666666667,0.17948483333333334,35.091
479,14.689333333333334,0.179574,35.09
480,14.721333333333332,0.17963916666666666,35.092
481,14.750666666666666,0.17967783333333334,35.092
482,14.781333333333333,0.17973416666666667,35.091
483,14.812000000000001,0.17978166666666665,35.092
484,14.842666666666666,0.179761,35.091
485,14.872000000000002,0.17969866666666665,35.092
486,14.902666666666667,0.17961850000000001,35.09
487,14.933333333333334,0.17959766666666666,35.091
488,14.965333333333332,0.17953833333333333,35.092
489,14.996,0.17948483333333334,35.091
490,15.026666666666667,0.17944633333333335,35.091
491,15.058666666666666,0.17940466666666666,35.092
492,15.089333333333334,0.17935133333333333,35.092
493,15.120000000000001,0.17931566666666668,35.09
494,15.149333333333335,0.17928,35.091
495,15.18,0.1792355,35.092
496,15.212,0.179188,35.092
497,15.241333333333333,0.17917616666666666,35.092
498,15.272,0.1791405,35.091
499,15.304,0.17914349999999998,35.091
500,15.334666666666667,0.17911683333333334,35.092
501,15.365333333333332,0.17908716666666666,35.091
502,15.395999999999999,0.17906933333333336,35.091
503,15.426666666666668,0.17901583333333332,35.092
504,15.456,0.17901283333333332,35.091
505,15.486666666666668,0.179001,35.092
506,15.517333333333333,0.17897433333333332,35.091
507,15.546666666666665,0.17897133333333332,35.09
508,15.577333333333334,0.179004,35.092
509,15.608,0.17898916666666667,35.091
510,15.638666666666667,0.1789565,35.092
511,15.669333333333332,0.17894166666666667,35.091
512,15.7,0.17892083333333333,35.09
513,15.730666666666668,0.17891483333333333,35.09
514,15.761333333333333,0.17887633333333333,35.091
515,15.792,0.1789,35.09
516,15.822666666666667,0.1788585,35.091
517,15.852,0.17882583333333332,35.09
518,15.882666666666667,0.17879016666666667,35.09
519,15.913333333333332,0.17878433333333332,35.09
520,15.943999999999999,0.1787635,35.091
521,15.975999999999999,0.17878433333333332,35.09
522,16.006666666666668,0.17875466666666667,35.092
523,16.037333333333333,0.178713,35.09
524,16.069333333333333,0.17868333333333333,35.092
525,16.1,0.1786685,35.091
526,16.130666666666666,0.17863283333333332,35.092
527,16.16,0.17863883333333333,35.09
528,16.19066666666667,0.17864183333333333,35.092
529,16.222666666666665,0.17864183333333333,35.09
530,16.253333333333334,0.17864483333333334,35.09
531,16.284,0.17865066666666665,35.091
532,16.314666666666668,0.17860916666666665,35.091
533,16.345333333333333,0.17861216666666666,35.09
534,16.375999999999998,0.17856766666666665,35.09
